#	Temperature (K)	   Magnetization		C_v	
    161.095083668105      0.333845498702	0.100622434945E+01
    163.187097733511      0.332294971657	0.102349226729E+01
    165.279111798916      0.330876044110	0.992755059219E+00
    167.371125864322      0.329431852923	0.101331623323E+01
    169.463139929728      0.327793448988	0.100088472375E+01
    171.555153995134      0.326208453609	0.102741675139E+01
    173.647168060540      0.324878899354	0.100891826715E+01
    175.739182125946      0.323560329460	0.990672422974E+00
    177.831196191352      0.321870452801	0.101186423112E+01
    179.923210256758      0.320232061839	0.103999886810E+01
    182.015224322164      0.318800186311	0.100377658865E+01
    184.107238387570      0.317039641018	0.995516340585E+00
    186.199252452976      0.315330339071	0.103908057433E+01
    188.291266518382      0.313836541602	0.998042989615E+00
    190.383280583788      0.312496575936	0.100401303321E+01
    192.475294649193      0.311049083439	0.101855084076E+01
    194.567308714599      0.309032071761	0.102507611167E+01
    196.659322780005      0.307392648189	0.104763833972E+01
    198.751336845411      0.305731885274	0.104960192799E+01
    200.843350910817      0.304381024417	0.105037038814E+01
    202.935364976223      0.302679375232	0.100975973918E+01
    205.027379041629      0.300981548011	0.102846916118E+01
    207.119393107035      0.299155049776	0.105401406847E+01
    209.211407172441      0.297373247237	0.102608279192E+01
    211.303421237847      0.295727496925	0.105187702753E+01
    213.395435303253      0.294167531079	0.103635343588E+01
    215.487449368659      0.292617690033	0.102261374516E+01
    217.579463434065      0.290701914596	0.108066395694E+01
    219.671477499470      0.289074595323	0.105383372224E+01
    221.763491564876      0.287140269660	0.105864594671E+01
    223.855505630282      0.285518975596	0.105774165005E+01
    225.947519695688      0.283855598249	0.103915214455E+01
    228.039533761094      0.282638507667	0.105587345568E+01
    230.131547826500      0.280565691080	0.106618927638E+01
    232.223561891906      0.278733573703	0.107781267996E+01
    234.315575957312      0.276551637727	0.108040829137E+01
    236.407590022718      0.274915105497	0.105775274624E+01
    238.499604088124      0.272717102812	0.109091519290E+01
    240.591618153530      0.270933684080	0.106054543890E+01
    242.683632218936      0.269111981812	0.109320180180E+01
    244.775646284341      0.266956039875	0.112290465228E+01
    246.867660349747      0.265305103356	0.106244653114E+01
    248.959674415153      0.262866578040	0.110034437165E+01
    251.051688480559      0.260986891283	0.108539554808E+01
    253.143702545965      0.259168073426	0.111290008670E+01
    255.235716611371      0.257317582561	0.112867337669E+01
    257.327730676777      0.255133430572	0.110816858188E+01
    259.419744742183      0.252666698076	0.112762335547E+01
    261.511758807589      0.250235061694	0.112399941920E+01
    263.603772872995      0.248394105292	0.114416785642E+01
    265.695786938401      0.246196281143	0.113617296436E+01
    267.787801003807      0.243928401390	0.114552261577E+01
    269.879815069213      0.241724676079	0.115287132708E+01
    271.971829134618      0.239077715536	0.113247110690E+01
    274.063843200024      0.236922646670	0.111208675278E+01
    276.155857265430      0.234563401383	0.118423612278E+01
    278.247871330836      0.232416120282	0.115001411904E+01
    280.339885396242      0.230221259620	0.117555381584E+01
    282.431899461648      0.227325685024	0.117334667068E+01
    284.523913527054      0.224856992655	0.117233634964E+01
    286.615927592460      0.222343231049	0.121331335384E+01
    288.707941657866      0.220112595474	0.118723486142E+01
    290.799955723272      0.217207175225	0.120493302803E+01
    292.891969788678      0.214672850277	0.125182664797E+01
    294.983983854084      0.211260368771	0.120798616609E+01
    297.075997919490      0.208113430271	0.122406834544E+01
    299.168011984895      0.204177285131	0.121587991959E+01
    301.260026050301      0.200699308151	0.124068537953E+01
    303.352040115707      0.197386884758	0.128556993571E+01
    305.444054181113      0.193293165833	0.122927421615E+01
    307.536068246519      0.190513428427	0.130784275170E+01
    309.628082311925      0.186841512559	0.128027378397E+01
    311.720096377331      0.182129145776	0.133458015674E+01
    313.812110442737      0.178404153991	0.128816901592E+01
    315.904124508143      0.174079630956	0.133289780328E+01
    317.996138573549      0.169883302171	0.133052776767E+01
    320.088152638955      0.164456033072	0.132530918612E+01
    322.180166704361      0.158758535455	0.133804746735E+01
    324.272180769766      0.153645354640	0.137990124737E+01
    326.364194835172      0.148854545914	0.138313935596E+01
    328.456208900578      0.144243162795	0.133081068168E+01
    330.548222965984      0.139235743117	0.142453037136E+01
    332.640237031390      0.131250017519	0.135525658196E+01
    334.732251096796      0.125882635211	0.133730448905E+01
    336.824265162202      0.119780598768	0.134278591615E+01
    338.916279227608      0.112621062702	0.134659290554E+01
    341.008293293014      0.107376687772	0.132911230073E+01
    343.100307358420      0.101306014934	0.127705283678E+01
    345.192321423826      0.095663769364	0.123471512124E+01
    347.284335489232      0.091558163069	0.120689190721E+01
    349.376349554638      0.087724138173	0.117284210333E+01
    351.468363620043      0.083367417443	0.118229456730E+01
    353.560377685449      0.078803628832	0.113726423965E+01
    355.652391750855      0.075074992067	0.112500117075E+01
    357.744405816261      0.071798782166	0.114393291892E+01
    359.836419881667      0.067696334853	0.110178107813E+01
    361.928433947073      0.065114930497	0.108311455065E+01
    364.020448012479      0.064270725980	0.108169833534E+01
    366.112462077885      0.061861300506	0.106908634532E+01
    368.204476143291      0.060136196824	0.103705076324E+01
    370.296490208697      0.057232951880	0.102233503670E+01
    372.388504274103      0.055781785031	0.103405505823E+01
